breed,description
briard,briards herders known wavy coat either gray tawny black impressive head topped peekaboo hairdo parted naturally middle luxurious beard eyebrows accentuate expression described “frank questioning” standing 22 27 inches shoulder briards burly rugged move nimblefooted gaitthey possess traits common many herders trainability brains protective eye toward family especially kids regard flock wariness outsiders large tireless dogs—it said two three briards handle 700 head sheep—and novice owners might overwhelmed work drive zest life briard packs much loyalty love spirit ample frame often described heart wrapped fur dashing good looks muscular frenchmen radiate distinct aura gallic romance elegance confident smart faithful herding daily brushing infrequent regular exercise independent reserved strangers medium tall light
brittany,brittanys smaller setters leggier spaniels standing 20 inches shoulder beautiful boldly patterned coat comes combinations white vivid orange liver reddishbrown rugged strong smooth clean quick afoot face “softness” prized birddog lovers highset ears convey breed’s essential eagernessthe zeal versatility make brittanys peerless hunters channeled dog sports obedience agility flyball dock diving—you name trainable breed brittany nice fit seeking allpurpose hunting partner dogsport teammate companion sync upbeat outdoorsy family life sportsmen sides atlantic cherish agile energetic brittany stylish versatile gundog bright eager home tireless afield brittanys require lot exercises preferably favorite humans bright funloving upbeat sporting 23 times week brushing seasonal needs lots activity eager please friendly medium medium light
broholmer,large mastifftype dog broholmer rectangular strongly built wide massive head around year 1800 danish dog book described ordinary breed especially around copenhagen nickname “the butcher’s dog” often seen lying doorsteps butcher shops protector home herder guard dog cattle farm city’s markets today size thing keeps intruders bay broholmer heart gold loves snuggle always wants near though preference sit excellent dog children dogs though seems underestimate size supervision recommended breed also remarkably agile size agility fetch balls jump catch frisbees anything camping hiking picnicking walks park happy go along club contact detailsbroholmer club usaname kathy kimmethemail amberdogsnewrrcomphone 920 4100142 text calm goodnatured yet watchful confident broholmer hails denmark makes great family companion friendly watchful loving foundation stock service occasional bathbrush seasonal calm nan nan short tall medium
brussels griffon,breed get big personality 5to15pound package one look big humanlike eyes you’ll smitten griffs come four colors—red blackandreddishbrown called belge black tan black—and smooth coats like pug rough coats like schnauzer black muzzle whiskers earned nickname “bearded dogs” old folk songsthe griff’s big black eyes—described “almost human”—coupled fringed beard mustache covering short muzzle gives air worldly frenchspeaking philosopher griff’s body thickset sturdy moves purposeful trot fellow knows wantsgriffs alert sociable easily trained although playful energetic small size sensitive nature make poor choice roughhousing playmates kids low threshold loneliness stick close special human providing years love laughter tipping scales 12 pounds humanlike toy complex character enough personality 10 ordinary dogs sensitive companion discerning grownups brussels griffon smart devoted comically selfimportant loyal alert curious toy 23 times week brushing seasonal regular exercise agreeable friendly medium short light
bull terrier,bull terriers robust bigboned terriers move jaunty stride suggesting agility power breed’s hallmark long eggshaped head erect pointed ears small triangular eyes glisten good humor coats come two types white color including attractive brindle striping either solid white markings wellmade bt picture muscular determination balance four keys bt happiness early socialization dogs people firm loving training ample exercise lots quality time adored humans requirements met loyal lovable entertaining companion ultimate “personality breed” among comical mischievous citizens dogdom bull terrier playful endearing sometimes stubborn always devoted unique “eggheads” exuberant muscular companions thrive affection exercise playful charming mischievous terrier weekly brushing seasonal energetic independent friendly medium medium light
bulldog,can’t mistake bulldog breed loose skin head furrowed brow pushedin nose small ears undershot jaw hanging chops either side distinctive rolling gait practically scream “i’m bulldog” coat seen variety colors patterns short smooth glossy bulldogs weigh 50 pounds won’t stop curling lap least trying don’t mistake easygoing ways laziness—bulldogs enjoy brisk walks need regular moderate exercise along careful diet stay trim summer afternoons best spent airconditioned room bulldog’s short snout cause labored breathing hot humid weather kind courageous friendly dignified bulldog thickset lowslung wellmuscled bruiser whose “sourmug” face universal symbol courage tenacity docile loyal companions adapt well town country friendly courageous calm nonsporting 23 times week brushing regularly regular exercise agreeable friendly short short light
bullmastiff,bullmastiff isn’t quite large close cousin mastiff still standing high 27 inches shoulder weighing 100 130 pounds still whole lot dog first impression made bullmastiff’s size large broad head conveys breed’s essence dark eyes highset vshaped ears broad deep muzzle combine present intelligence alertness confidence make bullmastiff worldclass protector family companion coats come fawn red brindlethese biddable reliable creatures large guarding dog owners must begin training socialization early puppy still small enough control fearless work docile home bullmastiff large muscular guarder pursued held poachers merry old england—merry suppose everyone poachers bullmastiffs result bulldog mastiff crosses affectionate loyal brave working occasional bathbrush seasonal energetic agreeable alertresponsive short tall medium
cairn terrier,cairn’s unique qualities called “cairnishness” include short wide head freemoving shortlegged body exudes strength heaviness topping 10 inches high 15 inches long double coat harsh wiry top downy beneath cairn presents small shaggy alert dog head tail ears eyes shining intelligencea british breed club promotes cairns “best little pal world” cairns small enough laptop snuggle sturdy enough good romp lawn best lots close family contact owners cherish terrier qualities gameness independent thinking trueblue loyalty breed cairn terriers happy busy little earthdogs originally bred fearlessly root foxes small furred prey rocky scottish countryside curious alert cairns like place explore dig alert cheerful busy terrier weekly brushing occasional regular exercise agreeable friendly medium short light
canaan dog,canaan dogs lean bushytailed dogs standing 19 24 inches shoulder coat straight harsh comes various colors patterns erect expressive ears dark almond eyes convey inquisitive expression canaans move brisk natural trot rugged agile apparently tireless making nice fit hikers runnerscanaans clever confident territorial end “owning” passive owners haven’t establish top dog family pack early training socialization key positive methods applied ancient wonderdogs train beautifully agility obedience herding trials sentry duty outlets work ethic one akcs oldest breeds canaan dog national dog israel quick mediumsized pasture dog docile family aloof strangers everalert canaan vocal persistent guardian flock home confident alert vigilant herding weekly brushing frequent regular exercise independent reserved strangers medium medium light
cane corso,nearly 28 inches shoulder often weighing 100 pounds large head alert expression muscles rippling beneath short stiff coat corsi glance intimidating creatures imposing appearance first line defense intruders one writer put “an understated air cool competence kind demeanor you’d expect professional bodyguard breed’s trademark”corsi intelligent loyal eager please versatile intensely loyal humans also assertive willful end owning unwitting owner big guardian dog responsible breeding early socialization people dogs vital smart trainable noble bearing assertive confident cane corso peerless protector corso’s lineage goes back ancient roman times breed’s name roughly translates latin “bodyguard dog” affectionate intelligent majestic working occasional bathbrush occasional energetic agreeable alertresponsive short tall nan
cardigan welsh corgi,long lowset dogs sturdy bone short legs deep chest cardigans powerful workers deceptive speed grace cardis weigh anywhere 25 34 pounds females lower end scale come several coat colors red popular bluemerle pattern quickest way distinguish cardis cousins pembroke welsh corgis check hindquarters cardigans tails pembrokes notcardis trainable faithful vigilant guardians “big dog” bark wellsocialized cardis especially fond kids agreeable pets athletic rugged herders love outdoors thrive mental stimulation physical activity cardigan welsh corgi masterpiece breeder’s art every aspect makeup perfectly suited moving cattle yet congenial sweetfaced would cherished companion even never day’s work affectionate loyal smart herding weekly brushing seasonal energetic agreeable alertresponsive medium short light
carolina dog,carolina dogs descended canines accompanied paleoindians traveled asia north america bering land bridge today still found living wild near georgiasouth carolina border also seen far north ohio pennsylvania far west arizona rural areas common denominator typical carolina dog pointed ears foxlike snout tail curves like fishhook raised look similar australian dingoes taxonomically fall canis familiaris hesitant strangers sound alarm unaware who’s door see people ecstatic carolina dogs extreme pack mentality necessity survival wild club contact detailsclub carolina dog club americaname lane watkins presidentemail presidentthecarolinadogclubofamericacom carolina dogs generally shy suspicious nature dog accepts human pack behaviors disappear toward human sighthound medium build general appearance jackal wolf loyal independent reserved strangers foundation stock service occasional bathbrush seasonal regular exercise eager please alertresponsive nan medium light
catahoula leopard dog,catahoula leopard dog mediumlarge shortcoated dog known many varied coat eye colors patterns word catahoula choctaw origin translated mean “sacred lake” catahoulas breed dog historically originated state louisiana breed requires firm guidance early socialization independent territorial protective reasons allow mistreatment assert selfdefense know place family unit affectionate loyal gentle also called catahoula hog dog used stock dogs bay dogs tree dogs watchdogs guard dogs course loyal companions catahoula leopard dog multipurpose working dog wellmuscled powerful sense agility endurance serious working playful home loyal independent watchful foundation stock service nan nan needs lots activity independent reserved strangers medium medium light
caucasian shepherd dog,caucasian shepherd dogs used centuries protect properties trespassers guard livestock large small predators wolves coyotes many duties modern days especially west they’re commonly companions watchdogs great variety types among caucasian dogs depending home region almost century two breed types standards mountain type longcoated heavier body mass steppe type shortercoated dog lighter body mass names breed include caucasian ovcharka caucasian sheepdog kawkasky owtscharka kaukasische schaferhund caucasian shepherd dog serious guardian breed never taken lightly caucasian bold fearless selfconfident fierce threat present soft devoted kind endearing family including family pets fearless bold kind foundation stock service 23 times week brushing regularly calm independent aloofwary medium tall heavy
cavalier king charles spaniel,cavalier’s allaround beauty regal grace even temper mark one dogdom’s noblemen toy spaniel 13 inches high cavalier draws face sweet gentle melting expression emanating large round eyes breed hallmark another silky richlycolored coat one four distinct varietiescavaliers may aristocrats gladly descend royal high horse backyard frolic squirrel chase get along nicely children dogs adaptable cavaliers equally well active owners homebodies—they upbeat athletes shameless couch potatoes depending owner’s lifestyle cavalier king charles spaniel wears connection british history breed’s name cavaliers best two worlds combining gentle attentiveness toy breed verve athleticism sporting spaniel affectionate gentle graceful toy weekly brushing occasional calm eager please friendly medium short light
central asian shepherd dog,central asian shepherd dogs natural protective breed require nonstop observance life dog firsttime dog owners formed breed natural selection four thousand years vast territory spreads nowadays caspian sea china southern ural afghanistan central asian shepherd dog selfassured balanced quiet proud independent courageous high working capacity endurance natural instinct territory breed known fearlessness towards large predators independent courageous selfconfident foundation stock service occasional bathbrush seasonal calm independent aloofwary nan tall medium
cesky terrier,ceskys muscular shortlegged handsome hunters standing taller 13 inches shoulder fine silky coat comes several shades gray including stunning platinum wavy facial hair gives ceskys sporty continental look mediumlong neck lends dash elegance game unspoiled working terrierswhile ceskys determined preydriven earthdog they’re mellower typical terrier wary strangers protective loved ones they’re good watchdogs without particularly yappy train well want please here’s catch scarce breed 600 living america wonderful family dog you’re lucky enough find one cesky terrier national dog czech republic clever adventurous playmate kids eager walking buddy folks tenacious work little laid back tractable usual terrier clever adventurous familyoriented terrier weekly brushing occasional regular exercise agreeable reserved strangers medium short light
chesapeake bay retriever,chessies strong powerfully built gundogs standing anywhere 21 26 inches shoulder male weigh 80 pounds distinctive breed trait wavy coat oily touch chessies solidcolored either chocolatey brown sedge deadgrass keen yellowamber eyes nicely complement coatchessies emotionally complex usual gundog chessies take training mind tenaciously pursue path protective humans polite overtly friendly strangers chessies make excellent watchdogs versatile athletes wellsocialized chessie confident companion worldclass hunting buddy chesapeake bay retriever peerless duck dog midatlantic american original embodies classic traits good retriever loyal upbeat affectionate tireless chessie famous waterproof coat affectionate bright sensitive sporting 23 times week brushing regularly energetic agreeable reserved strangers medium medium light
chihuahua,chihuahua balanced graceful dog terrierlike demeanor weighing 6 pounds rounded “apple” head breed hallmark erect ears full luminous eyes acutely expressive coats come many colors patterns long short varieties identical except coatchihuahuas possess loyalty charm bigdog attitude even tiny dogs require training without clever scamp rule household like little napoleon compact confident chihuahuas ideal city pets small roughhousing kids special care must taken cold weather chihuahuas adaptable—as long get lots quality time preferred lap chihuahua tiny dog huge personality national symbol mexico alert amusing purse dogs stand among oldest breeds americas lineage going back ancient kingdoms precolumbian times charming graceful sassy toy occasional bathbrush occasional regular exercise independent alertresponsive medium short light
chinese crested,chinese crested lively alert toy breed standing 11 13 inches high hairless coated hairless variety smooth soft skin tufts hair head tail ankles coated variety called “powderpuff” covered soft silky coat besides coat there’s little difference powderpuff undressed brother varieties characterized fineboned elegance graceful movementcresteds fun look playful loving devoted humans hairless advantages doggy odor obvious reasons shedding isn’t much problem varieties attentive housemates totally tune family spotted pink skin spiky “crested” hairdo furry socks feathery tail can’t mistake sweet slender chinese crested breed frolicsome ultraaffectionate companion dog truly breed apart affectionate alert lively toy occasional bathbrush infrequent regular exercise agreeable friendly medium short light
chinese shar-pei,compact mediumsized chinese sharpei amalgam odd physical traits broad “hippopotamus” muzzle blueblack tongue small sunken eyes scowling expression tiny triangular ears abundant folds loose skin head neck shoulders tapered highset tail—all blanketed harsh sandpapery coat literal translation sharpei “sand skin”sharpei strong regal independent guardians famous intelligence loyalty suspicious strangers dogs sharpei serene dogs meet perceived threat tenacity vigor early training socialization essential—a dominant adult sharpei without serious problem waiting happen fascinating challenging breed ancient pedigree steadfastly loyal family standoffish strangers chinese sharpei physical characteristics make oneofakind companion guardian dog loyal independent calm nonsporting occasional bathbrush regularly regular exercise may stubborn reserved strangers short medium light
chinook,tawnycoated nofrills chinooks muscular substantial males standing high 26 inches shoulder females distinctly feminine look bit smaller chinooks conceived dualpurpose haulers power freighting dogs speed sled racers picture stouthearted dignity kindly twinkle dark almond eyeschinooks calm peopleoriented dogs special feel children trainable workers aim please sledding carting obedience agility searchandrescue work herding pursuits they’ve mastered chinooks particularly busy dogs need consistent exercise stay proper hard condition pride wonalancet new hampshire chinook rugged working dog devoted family pet known intelligence patience eagerness please verge extinction chinook among scarcest akc breeds smart patient devoted working weekly brushing seasonal energetic eager please friendly medium medium light
chow chow,chows powerful compactly built dogs standing high 20 inches shoulder distinctive traits include lion’smane ruff around head shoulders blueblack tongue deepset almond eyes add scowling snobbish expression stifflegged gait chows rough smooth coats red black blue cinnamon creamowners say chows cleanest dogs housebreak easily little doggy odor known fastidious cats wellsocialized chows never fierce intractable always refined dignified aloof strangers eternally loyal loved ones serene adaptable special exercise needs chows happily take city life chow chow allpurpose dog ancient china presents picture muscular deepchested aristocrat air inscrutable timelessness dignified seriousminded aloof chow chow breed unique delights dignified bright seriousminded nonsporting 23 times week brushing seasonal regular exercise may stubborn reserved strangers short medium light
cirneco dell’etna,standing 20 inches cirneco “cheerneko” cirnechi plural often described resembling smaller version pharaoh hound cousin island malta slender rugged hunter’s coat ranges light dark tan chestnut large upright ears point alert expression eyes whose amber ochre color smartly complements coatin many ways lithe leggy sicilians typical sighthounds sweetnatured independent course breathtakingly swift said though cirnechi bit trainable usual sighthound living artifacts antiquity sprinted 21st century relatively unchanged passing fads fancies sleek sinewy cirneco dell’etna ancient coursing hound sicily athletic hunter given quick bursts speed housedogs cirnechi mild lowmaintenance companions cherished loyal gentle nature affectionate friendly independent hound occasional bathbrush infrequent regular exercise agreeable alertresponsive medium medium light
clumber spaniel,clumber spaniels powerful bird dogs heavy bone built long low massive head stand 17 20 inches small female might 55 pounds large male could go 85 pounds built push thick cover field clumber movement nonetheless free easy dense coat primarily white sparse lemon orange markingsclumbers sweet easygoing home outdoorsy fellows relentless scent smart eagertoplease clumbers respond well training though bit wary around strangers clumbers friendly dogs bark something say make indifferent watchdogs love swimming fetching sturdy childhood playmates dignified mellow hunting companion kings clumber spaniel largest akc flushing spaniels handle shedding drooling amiable clumber amusing best friend gentlemanly housemate mellow amusing gentlemanly sporting weekly brushing regularly regular exercise agreeable reserved strangers medium medium light
cocker spaniel,big dark eyes sweet expression long lush ears practically demand touched—no wonder cocker spent years america’s popular breed cocker akc’s smallest sporting spaniel standing 14 15 inches coat comes enough colors patterns please taste wellbalanced body sturdy solid quick durable gundogs move smooth easy gaitcockers eager playmates kids easily trained companions athletes big enough sporty compact enough portable cocker full coat rewards extra grooming time prettiest dog block energetic sporting dogs love playtime brisk walks merry frolicsome cocker spaniel big dreamy eyes impish personality one world’s bestloved breeds developed hunting dogs cockers gained wide popularity allaround companions gentle smart happy sporting daily brushing occasional regular exercise eager please outgoing medium short light
collie,collie large lithe herder standing anywhere 22 26 inches tall rough variety boasts one canine kingdom’s impressively showy coats smooth coat’s charms subtler less satisfying coat colors varieties sable white tricolor blue merle white collie fanciers take pride breed’s elegant wedgeshaped head whose mobile ears almond eyes convey wide variety expressionscollies famously fond children make wonderful family pets swift athletic dogs thrive companionship regular exercise gentle training learn happily rapidly collie’s loyalty intelligence sterling character stuff legend majestic collie thanks hundred years popculture star among world’s recognizable beloved dog breeds fullcoated “rough” collie familiar variety also sleek “smooth” collie devoted graceful proud herding 23 times week brushing seasonal regular exercise easy training friendly medium medium light
coton de tulear,coton de tulear kotone dih toolayare small immensely charming dog standing 9 11 inches high weighing anywhere 8 13 pounds cotons known profuse white coat soft cotton french say “coton” primary job provide amusement comfort companionshipthe bond cotons people tight owners discuss human terms coton fanciers describe “witty” companions “at times boisterous never demanding” “naturally clownish lighthearted” possess “remarkably gentle sympathetic awareness” amusing traits longlived jesters include unique vocalizations knack walking hind legs coton de tulear “royal dog madagascar” bright happygolucky companion dog whose favorite activities include clowning cavorting following special human around house coton small robustly sturdy charming bright happygolucky nonsporting daily brushing occasional regular exercise easy training outgoing long short light
croatian sheepdog,petar horvat bishop djakovo wrote 1374 croats brought shepherd dog along move new land referred dog canis pastoralis croaticus—the croatian shepherd dogthe bishop djakovo peter bakic also wrote croatian sheepdog 1719 manuscript “on life people raising stock djakovo it’s surroundings 1719” quoted words written bishop petar 1374 providing description dog stated croatian sheepdog changed since record 1374 1719 changed appearance described bishop petar 1374a systematic selection breeding program started “father breed” – veterinarian prof dr stjepan romic 1935 dogs territory djakovo 34 years work breed recognized fci 1969 croatian sheepdog agile helpful humble shepherd dog selfreliant owner brave trustworthy true master flock often running back herd get point intervention soon possible loyal active alert intelligent foundation stock service occasional bathbrush occasional needs lots activity eager please reserved strangers medium medium light
curly-coated retriever,curlycoated retriever’s tight crisp curls either black liver serve waterproof thornresistant allweather gear work thick bramble icy lakes curly big durable gun dog elegant graceful retrievers another trait sets curlies apart usual retriever tapered wedgeshaped headlike labradors goldens curlies affectionate gentle bit independent less needy playful mischievous loved ones curlies aloof strangers wariness makes discerning watchdogs gregarious retrievers tireless dogs need lots outdoor exercise bored underemployed curlies handful curlycoated retriever among oldest retriever breeds famously versatile gundog peerless swimmer poised proud wickedly smart curly thinking person’s retriever never quit confident proud wickedly smart sporting occasional bathbrush occasional energetic independent reserved strangers medium tall light
czechoslovakian vlcak,czechoslovakian vlcak csv originally bred working border patrol czechoslovakia 1950s currently used europe united states search rescue tracking obedience agility drafting herding working dog sports csv bred versatility hardiness harsh elements much independent nature many working breeds excellent choice tracking trailing sportwork companion active owners enjoy spending time outdoor activities biking running hiking however recommended first time ownersclub contact detailsclub czechoslovakian vlcak club americaname stacy mccrary presidentemail vlcaksusagmailcom alert primitive canine resembles wolf appearance highly intelligent powerful active loyal devoted it’s owner superior eyesight hearing sense smell known excellent stamina endurance loyal intelligent active foundation stock service weekly brushing frequent needs lots activity may stubborn aloofwary medium tall light
dachshund,word “icon” terribly overworked dachshund—with unmistakable longbacked body little legs big personality—is truly icon purebred dogdom dachshunds standardsized usually 16 32 pounds miniature 11 pounds come one three coat types smooth wirehaired longhaireddachshunds aren’t built distance running leaping strenuous swimming otherwise tireless hounds game anything smart vigilant bigdog bark make fine watchdogs bred independent hunter dangerous prey brave point rashness bit stubborn endearing nature unique look millions hearts world famously long low silhouette everalert expression bold vivacious personality dachshund made superstar canine kingdom dachshunds come two sizes three coat types various colors patterns friendly curious spunky hound weekly brushing occasional regular exercise agreeable alertresponsive medium short light
dalmatian,dalmatian’s delightful eyecatching spots black liver adorn one distinctive coats animal kingdom beneath spots graceful elegantly proportioned trotting dog standing 19 23 inches shoulder dals muscular built go distance powerful hindquarters provide drive behind smooth effortless gaitthe dal originally bred guard horses coaches old protective instinct remains reserved dignified dals aloof strangers dependable watchdogs preferred humans dals bright loyal loving house dogs strong active athletes great stamina—a wonderful partner runners hikers dignified dalmatian dogdoms citizen world famed spotted coat unique job description long history coach dogs accompanied horsedrawn rigs nobles gypsies firefighters dignified smart outgoing nonsporting weekly brushing frequent energetic agreeable alertresponsive medium medium light
dandie dinmont terrier,physical hallmarks dandie dinmont terrier include large head covered profuse silky white hair long hanging ears tipped feathering coming almost point big round eyes full brightness expression long low torso short legs crisp body coat comes two spicy colors pepper bluish black silvery gray mustard reddish brown pale fawnweighing 24 pounds dandies alert intelligent watchdogs big baritone bark dandies enjoy romping cuddling kids aren’t hyper small dogs terriers though typical willfulness independence courage dandie owners get best results positive motivational training uniquelooking dandie dinmont terrier tough dignified little exterminator sturdily built rigors farm life agreeably adapt city living dandies compact companions blessed big personality independent smart proud terrier daily brushing infrequent regular exercise independent reserved strangers medium short light
danish-swedish farmdog,breed entered american kennel club foundation stock services program akc fss 2011 eligible compete agility barn hunt flyball herding lure coursing nosework obedience rally tracking akc fss open shows club contact detailsclub danishswedish farmdog club america incname dorothy herman akc liaisonemail infofarmdogsorg known little big dog danishswedish farmdog companion dog loves work enjoys challenge small compact slightly rectangular dog known mature late energetic trainable attentive foundation stock service occasional bathbrush occasional energetic nan nan medium short light
deutscher wachtelhund,deutscher wachtelhund mediumsized longhaired muscular gun dog noble head strong bone keen hunting desire ability make ideal dog hunters innate love water often used hunt waterfowl deutscher wachtelhund’s name german quail dog relates ability upland bird flusher also known german spaniel club contact detailsname bill wright boulder brook kenneladdress po box 1 markham va 22643email jwwiiihotmailcom deutscher wachtelhund scenting blood tracking ability comparable bloodhound track 40hourold wounded game fresh game trail must vocalize inform hunters location versatile breed virtually unknown german nonhunting public owned hunters gamekeepers professional hunters germany friendly versatile determined foundation stock service weekly brushing nan regular exercise nan nan medium medium light
doberman pinscher,dobermans compactlybuilt dogs—muscular fast powerful—standing 24 28 inches shoulder body sleek substantial covered glistening coat black blue red fawn rust markings elegant qualities combined noble wedgeshaped head easy athletic way moving earned dobermans reputation royalty canine kingdom wellconditioned doberman patrol deter foolish intruder sleek powerful possessing magnificent physique keen intelligence doberman pinscher one dogkinds noblemen incomparably fearless vigilant breed stands proudly among worlds finest protection dogs loyal fearless alert working occasional bathbrush regularly needs lots activity eager please alertresponsive medium tall light
dogo argentino,ideal dogo argentino study harmony large powerful athletic strong head supported thick elegant neck connects balanced body sustained straight substantial forelegs muscular mediumangulated hindquarters dogo gives impression explosive power energy developed find chase catch dangerous game dogo must good nose great lung capacity powerful yet agile muscular build expression alert intelligent marked hardness dogo instantly identifiable short completely white coat dogo argentino packhunting dog bred pursuit biggame wild boar puma possesses strength intelligence quick responsiveness serious athlete short plain smooth coat completely white dark patch near eye permitted long doesnt cover 10 head friendly cheerful humble working occasional bathbrush infrequent needs lots activity nan nan medium tall medium
dogue de bordeaux,dogue de bordeaux immensely powerful mastifftype guardian males go 27 inches high 110 pounds short eyecatching coat richly colored fawn massive head features bulldoglike undershot jaw expressive eyes deeply furrowed brow proportionately largest head canine kingdom body stocky close ground dogues move like lions duty callsddbs proper temperament sweet sensitive souls owners appreciate breed’s loyalty loved ones ages also say ddbs stubborn dominate fail apply firm training puppyhood acquiring strapping superdog finding responsible breeder key ancient french dog breeds dogue de bordeaux “mastiff bordeaux” around even france france brawny fawncoated guardians considerable courage famously loyal affectionate protective affectionate loyal courageous working occasional bathbrush regularly regular exercise agreeable alertresponsive short tall medium
drentsche patrijshond,drent “par excellence” hunting variety game diverse terrain known keeping touch hunter point awaiting hunter dog often look back hunting partner takes long time wait adaptability makes suitable manner game field well water drent also known good retriever due drent’s soft nature forceful training methods inappropriate dog expected bark announce visitors home often reserved towards strangers welcomed loyal intelligent pet exceptional value top good hunting buddy club contact detailsclub drentsche patrijshond club north americaname brian o’connoremail dpcnagundogsgmailcomphone 2085900027 breed pronounced darinseah puhtricehoon drentsche patrijshond drent short typical continental pointer starters drent tail nearly four hundred years old drent built farmers farmers farm dog drents hunt feather fur keep farm clear vermin cart dairy market much breed maintained versatility beginning highly intelligent adaptable training must kept lively interesting drents used types hunting agility tracking dog sledding skijoring loyal intelligent sensitive foundation stock service weekly brushing regularly energetic agreeable reserved strangers medium medium light
drever,drever developed early twentieth century sweden hunting deer difficult due terrain herd locations hunters soon realized benefits using shortlegged longbodied dog drive deer long distances rough terrain right keen eventempered hound drever never aggressive nervous shy content living situations tend vocal alerting play drever robust strong rather elegant speedy proud carriage welldeveloped muscles agile appearance affectionate playful sweet drever gets along well breeds great groups loyal eventempered determined foundation stock service occasional bathbrush occasional regular exercise may stubborn alertresponsive medium short light
dutch shepherd,dutch shepherd discovered naturally occurring shepherd’s dog living rural areas developed allpurpose farm dog working originally farm guard drover livestock dog well known dog fancier wrote dutch shepherd 1910 “…bearing great resemblance wolf” course entirely true another aspect shows dutch shepherd still many characteristics wild forebears although widely known breed dutch shepherd loyal companion competent working dog used obedience dog sports herding tracking search rescue police dog dutch shepherd lively athletic alert intelligent breed retained herding instinct originally developed independent nature slightly obstinate mind since original duties keep flocks sheep particular location able run day reflected physique structure intelligent lively athletic miscellaneous class weekly brushing seasonal needs lots activity agreeable alertresponsive medium medium light
english cocker spaniel,english cocker spaniel compactly built sporting dog standing 15 17 inches shoulder softly contoured head dark melting eyes convey alert dignified expression framed lush closelying ears mediumlength coat seen variety striking colors patterns silky touch “balance” key word understanding breed ec balanced temperament construction movementbeneath ec’s physical beauty beats heart tireless eagertoplease hunter’s helper famous world ability flush retrieve gamebirds prefer domestic pursuits charming agreeable household companion english cocker spaniel lovers often use word “merry” describe breed upbeat field mellow home compact silkycoated bird dog widely admired delightful personality irresistible good looks energetic merry responsive sporting 23 times week brushing occasional regular exercise eager please friendly medium short light
english foxhound,english foxhound epitome serious dog breeders strive beauty balance utility “next old greek statue” poet wrote “there combinations grace strength fine foxhound”these packoriented scentdriven hounds gentle sociable rarely seen house pets driven primal instinct pursuit much else including training matters owning noble creatures best left huntsmen kennel packs hounds experienced meeting special challenges life swift powerful hounds hardwired chase english foxhound substantial galloping hound great stamina long legs straight gatepost sturdy back perfectly level chest deep “girthing” much 31 inches hound measuring 24 inches shoulder ensuring plenty lung power grueling day’s hunt affectionate gentle sociable hound occasional bathbrush regularly energetic agreeable friendly medium medium light
english setter,english setters elegant solid dogs beauty charm word “belton” unique breed describes speckled coat patterns colors sound good enough eat liver lemon orange among showy coat wellbalanced hunter standing 25 inches shouldera graceful neck carries long ovalshaped head proudly dark brown eyes convey soft expression merry english setter known gentleman dog world game boisterous play english setters get well dogs people veteran allbreed dog handler says “as breed share one’s life living space breed gives pleasure english setter” english setter mediumsized sporting dog sweet temper showstopping good looks one akc’s four british setters created work distinctly different terrains england ireland scotland friendly mellow merry sporting 23 times week brushing regularly energetic easy training friendly medium tall light
english springer spaniel,built long days field english springer spaniels tough muscular hunters standing 19 20 inches shoulder weighing 40 50 pounds double coat comes several colors patterns ears long lush kindly trusting expression eyes cherished hallmark breed springers move smooth groundcovering stridebred work closely humans springers highly trainable peoplepleasers crave company miserable neglectedpolite dogs springers good kids fellow mammals eager join family activity long walks games chase fetch swimming favorite pastimes rugged spaniels english springer spaniel sweetfaced lovable bird dog great energy stamina brains sport hunters cherish duality working springers handsome mannerly pets week trusty hunting buddies weekends friendly playful obedient sporting weekly brushing occasional regular exercise eager please friendly medium medium light
english toy spaniel,ets square snubnosed toy weighing 14 pounds large domed head—with long lush ears dark melting eyes chubby cheeks—is famous breed trait profuse coat comes four varieties proper name red white blenheim black tan king charles white black tan prince charles solid red ruby blenheims often red mark “blenheim spot” top headthe ets like many toy breeds kept royals came assume personalities aristocratic owners proud willful extremely discriminating choice friends favored humans affectionate home exuberant curious play merry english toy spaniel bred companion kings ets spaniels first pampered lapdogs second beneath patrician exterior beats heart real doggy dog—bright loving willing please gentle playful intelligent toy 23 times week brushing seasonal regular exercise independent alertresponsive medium short light
entlebucher mountain dog,entlebucher entlehboocur mountain dogs muscular longbacked cattle dogs standing 16 21 inches shoulder short sturdy legs striking black white tan coat attentive friendly face entles famous agility balance boundless enthusiasmentles vigilant protectors four twolegged “herds” properly socialized make durable trustworthy playmates older kids energetic entles require lots exercise family time direction reach full potential inexperienced owners might overwhelmed strong selfconfident gogo herding dog eager workentlebuchers fine dogs—clever zesty happy—but everyone entlebucher mountain dog tricolor “laughing dog” swiss alps rugged determined mover cattle spirited energetic workers athletes independent problem solvers happiest job perform loyal smart enthusiastic herding occasional bathbrush infrequent needs lots activity independent reserved strangers medium medium light
